features,propertyType,zoning,feature_id
"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R-6,79
"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,R6,80
"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""heating"": true, ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown,81
"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Condo,LARD1.5,82
"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Masonry"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,R-LD,83
"{""architectureType"": ""Split Entry"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,PB,84
"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,R100,85
"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,RESIDENTIAL PERFORMANCE,86
"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RS5,87
"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown,88
